epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,7517.72,0.92642,0.76761,1.24779,0.90318,0.92105,0.96919,0.7185,0.92633,0.63606,1.09171,1.44161e-05,1.44161e-05,1.44161e-05
40,7708.43,0.92734,0.75791,1.25118,0.93882,0.89693,0.9706,0.71757,0.92292,0.62017,1.08609,1.23596e-05,1.23596e-05,1.23596e-05
41,7926.29,0.74039,0.56477,1.1557,0.93816,0.90132,0.97309,0.70953,0.9432,0.6321,1.09657,1.04537e-05,1.04537e-05,1.04537e-05
42,8115.69,0.73794,0.55262,1.15228,0.92964,0.90351,0.97298,0.70456,0.94776,0.62912,1.09229,8.70577e-06,8.70577e-06,8.70577e-06
43,8304.84,0.74806,0.54868,1.1589,0.9379,0.9057,0.97286,0.70791,0.93449,0.6296,1.091,7.12282e-06,7.12282e-06,7.12282e-06
44,8494.34,0.74296,0.55272,1.16056,0.93107,0.90789,0.97441,0.71068,0.93869,0.62438,1.09221,5.71106e-06,5.71106e-06,5.71106e-06
45,8683.54,0.75135,0.5531,1.1578,0.94075,0.90537,0.97398,0.71756,0.91724,0.62107,1.08375,4.47606e-06,4.47606e-06,4.47606e-06
46,8873.47,0.74888,0.55782,1.16053,0.93883,0.90789,0.97409,0.71729,0.92175,0.62314,1.08457,3.4227e-06,3.4227e-06,3.4227e-06
47,9063.2,0.74496,0.55645,1.15793,0.93496,0.9057,0.97317,0.71471,0.92631,0.62776,1.09129,2.55513e-06,2.55513e-06,2.55513e-06
48,9252.38,0.73287,0.54388,1.1453,0.93734,0.90351,0.97361,0.71924,0.9116,0.62291,1.08133,1.87678e-06,1.87678e-06,1.87678e-06
49,9442.38,0.73836,0.55629,1.15344,0.93626,0.90194,0.97362,0.71448,0.92182,0.62568,1.08666,1.39032e-06,1.39032e-06,1.39032e-06
50,9631.99,0.74027,0.5453,1.15299,0.93364,0.9057,0.97341,0.71463,0.92171,0.6268,1.0859,1.09768e-06,1.09768e-06,1.09768e-06
