epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1808.17,0.92732,0.5438,1.13767,0.9348,0.95349,0.98372,0.66072,1.12122,0.55875,1.17309,0.0011882,0.0011882,0.0011882
43,1850.34,0.90585,0.51574,1.12135,0.95442,0.94651,0.98445,0.66228,1.16849,0.56038,1.16343,0.0011684,0.0011684,0.0011684
44,1892.73,0.9302,0.53013,1.1287,0.95266,0.93603,0.98439,0.6689,1.12667,0.56877,1.17519,0.0011486,0.0011486,0.0011486
45,1935.55,0.89581,0.51845,1.1101,0.93822,0.94651,0.98669,0.66919,1.11216,0.53789,1.15639,0.0011288,0.0011288,0.0011288
46,1977.49,0.90222,0.51772,1.12027,0.94549,0.96813,0.98633,0.67672,1.11855,0.56139,1.18721,0.001109,0.001109,0.001109
47,2019.23,0.88502,0.5101,1.10687,0.97579,0.95814,0.98867,0.6859,1.07866,0.52875,1.16566,0.0010892,0.0010892,0.0010892
48,2060.64,0.88973,0.51157,1.12244,0.95734,0.93941,0.985,0.69383,1.0322,0.54674,1.15433,0.0010694,0.0010694,0.0010694
49,2103.05,0.87051,0.50033,1.10502,0.96427,0.96512,0.9917,0.68703,1.0719,0.52233,1.14322,0.0010496,0.0010496,0.0010496
50,2145.09,0.88395,0.50505,1.1151,0.96018,0.95325,0.98687,0.70319,1.01885,0.52943,1.13177,0.0010298,0.0010298,0.0010298
51,2187.41,0.85267,0.49633,1.09212,0.93259,0.96526,0.98332,0.7093,0.99976,0.53487,1.13157,0.00101,0.00101,0.00101
52,2230.98,0.8518,0.48378,1.08843,0.94905,0.95297,0.98413,0.7091,1.0096,0.50307,1.12421,0.0009902,0.0009902,0.0009902
53,2274.41,0.8518,0.48592,1.08655,0.95016,0.96744,0.98474,0.71683,0.98649,0.51116,1.11875,0.0009704,0.0009704,0.0009704
54,2317.68,0.82601,0.46466,1.06987,0.96312,0.95581,0.9858,0.73205,0.94762,0.48647,1.11529,0.0009506,0.0009506,0.0009506
55,2360.33,0.84563,0.47397,1.07845,0.94073,0.96744,0.98681,0.73255,0.92539,0.49924,1.11338,0.0009308,0.0009308,0.0009308
56,2402.67,0.82731,0.46284,1.0801,0.95152,0.96279,0.98645,0.71907,0.97977,0.50507,1.12205,0.000911,0.000911,0.000911
57,2445.06,0.82349,0.46205,1.07773,0.93645,0.96512,0.98368,0.70924,0.98335,0.49509,1.13668,0.0008912,0.0008912,0.0008912
58,2488.41,0.81141,0.45506,1.06771,0.94568,0.97173,0.98693,0.68404,1.07183,0.50884,1.15435,0.0008714,0.0008714,0.0008714
59,2531.89,0.80685,0.45263,1.06472,0.94922,0.94186,0.98345,0.71716,0.9387,0.49287,1.12155,0.0008516,0.0008516,0.0008516
60,2574.29,0.80019,0.44086,1.06919,0.93138,0.97855,0.9852,0.70887,0.979,0.49498,1.12121,0.0008318,0.0008318,0.0008318
61,2617.5,0.7691,0.42803,1.04384,0.95301,0.94884,0.98678,0.72803,0.94173,0.47583,1.12192,0.000812,0.000812,0.000812
62,2660.51,0.78603,0.45029,1.03764,0.95403,0.97674,0.98594,0.73272,0.92207,0.48079,1.1207,0.0007922,0.0007922,0.0007922
63,2702.92,0.77663,0.4367,1.05056,0.94177,0.96744,0.98207,0.73841,0.89253,0.47315,1.09961,0.0007724,0.0007724,0.0007724
64,2746.18,0.77842,0.4332,1.04795,0.93636,0.96977,0.98583,0.7387,0.9056,0.45737,1.11861,0.0007526,0.0007526,0.0007526
65,2790.49,0.77695,0.42395,1.04499,0.93848,0.9578,0.97943,0.72748,0.91555,0.47334,1.10659,0.0007328,0.0007328,0.0007328
66,2833.71,0.75866,0.42298,1.03182,0.95596,0.94884,0.98208,0.7392,0.91213,0.47302,1.10594,0.000713,0.000713,0.000713
67,2876.98,0.74831,0.41601,1.03118,0.95813,0.95788,0.98385,0.71853,0.95317,0.48055,1.13326,0.0006932,0.0006932,0.0006932
68,2920.03,0.73989,0.41026,1.02082,0.94701,0.96047,0.98117,0.73603,0.90366,0.47305,1.11325,0.0006734,0.0006734,0.0006734
69,2963.85,0.73966,0.40425,1.02865,0.94931,0.95817,0.98566,0.72109,0.94702,0.46232,1.12546,0.0006536,0.0006536,0.0006536
70,3007.2,0.73817,0.40578,1.01773,0.95224,0.96512,0.98642,0.73117,0.90434,0.45898,1.12386,0.0006338,0.0006338,0.0006338
71,3049.88,0.72252,0.40115,1.01865,0.96731,0.96341,0.98993,0.75478,0.87334,0.44402,1.09643,0.000614,0.000614,0.000614
72,3093.05,0.72461,0.39143,1.00983,0.95254,0.96279,0.98335,0.72891,0.93442,0.45866,1.1187,0.0005942,0.0005942,0.0005942
73,3135.41,0.71444,0.39261,1.00544,0.96503,0.96262,0.98925,0.72785,0.94312,0.46282,1.1035,0.0005744,0.0005744,0.0005744
74,3178.26,0.6997,0.39062,1.00055,0.96967,0.96512,0.98969,0.74064,0.87651,0.44814,1.1088,0.0005546,0.0005546,0.0005546
75,3221.93,0.69928,0.38792,1.00624,0.96283,0.94651,0.98357,0.74911,0.86047,0.43756,1.10605,0.0005348,0.0005348,0.0005348
76,3265.92,0.70138,0.38221,1.00751,0.96545,0.96512,0.98972,0.74685,0.87613,0.43247,1.10462,0.000515,0.000515,0.000515
77,3307.91,0.68162,0.37391,0.99178,0.96687,0.96047,0.98544,0.7631,0.84026,0.42776,1.10111,0.0004952,0.0004952,0.0004952
78,3350.73,0.68537,0.37452,0.99064,0.94832,0.96744,0.98389,0.74689,0.88045,0.44161,1.1107,0.0004754,0.0004754,0.0004754
79,3392.55,0.6579,0.36411,0.9817,0.95441,0.97378,0.98802,0.74485,0.87214,0.43995,1.09488,0.0004556,0.0004556,0.0004556
80,3434.73,0.66617,0.36021,0.99302,0.95814,0.95819,0.9877,0.75379,0.8459,0.43012,1.1053,0.0004358,0.0004358,0.0004358
81,3478.16,0.66301,0.36542,0.97935,0.96462,0.95103,0.98802,0.74905,0.88038,0.43971,1.09972,0.000416,0.000416,0.000416
82,3521.27,0.66079,0.36818,0.9951,0.9673,0.96313,0.98758,0.7527,0.85515,0.43029,1.09837,0.0003962,0.0003962,0.0003962
83,3565.04,0.65139,0.35466,0.9793,0.96245,0.96512,0.98692,0.75697,0.85051,0.42475,1.1051,0.0003764,0.0003764,0.0003764
84,3607.75,0.64172,0.34842,0.97769,0.96316,0.97295,0.98803,0.75374,0.85322,0.42149,1.10486,0.0003566,0.0003566,0.0003566
85,3650.89,0.64108,0.35057,0.9711,0.95413,0.96746,0.98392,0.7558,0.84897,0.42672,1.09627,0.0003368,0.0003368,0.0003368
86,3693.82,0.62637,0.34326,0.96361,0.96731,0.95349,0.98836,0.73449,0.91638,0.43145,1.1236,0.000317,0.000317,0.000317
87,3736.68,0.62335,0.34114,0.96626,0.95425,0.97442,0.98768,0.74612,0.86974,0.4247,1.11907,0.0002972,0.0002972,0.0002972
88,3779.53,0.62057,0.33565,0.96144,0.95291,0.97209,0.98471,0.74706,0.86656,0.4173,1.11184,0.0002774,0.0002774,0.0002774
89,3823.32,0.62403,0.33882,0.96598,0.96579,0.96279,0.98685,0.75201,0.86497,0.40854,1.1164,0.0002576,0.0002576,0.0002576
90,3866.9,0.62149,0.34024,0.96691,0.96096,0.97303,0.98877,0.75625,0.86341,0.40411,1.11101,0.0002378,0.0002378,0.0002378
91,3912.88,0.60564,0.32996,0.95824,0.95663,0.97467,0.98771,0.75873,0.85354,0.41133,1.09473,0.000218,0.000218,0.000218
92,3956.07,0.59348,0.3254,0.94536,0.96328,0.96512,0.98935,0.76244,0.83711,0.40447,1.09351,0.0001982,0.0001982,0.0001982
93,3999.83,0.58859,0.32357,0.94115,0.95209,0.97042,0.98703,0.75938,0.83581,0.40119,1.10262,0.0001784,0.0001784,0.0001784
94,4044.23,0.59035,0.32576,0.94785,0.97185,0.96339,0.98952,0.7606,0.84017,0.40825,1.10693,0.0001586,0.0001586,0.0001586
95,4087.51,0.58539,0.31893,0.95107,0.95115,0.97442,0.98802,0.7553,0.83827,0.40334,1.10627,0.0001388,0.0001388,0.0001388
96,4131.1,0.58992,0.31845,0.95551,0.97414,0.96374,0.99078,0.76245,0.83074,0.39602,1.09647,0.000119,0.000119,0.000119
97,4174.72,0.57552,0.31369,0.94681,0.97609,0.96047,0.98974,0.7632,0.82949,0.39546,1.09957,9.92e-05,9.92e-05,9.92e-05
98,4218.23,0.56386,0.31386,0.93869,0.97749,0.96279,0.99028,0.7571,0.84602,0.40405,1.10342,7.94e-05,7.94e-05,7.94e-05
99,4260.63,0.56366,0.31423,0.93852,0.96744,0.96738,0.98862,0.7603,0.83347,0.39865,1.10205,5.96e-05,5.96e-05,5.96e-05
100,4302.96,0.57015,0.31051,0.93817,0.96157,0.97209,0.98772,0.75393,0.84506,0.40103,1.10774,3.98e-05,3.98e-05,3.98e-05
